order.date,order.id,order.line,quantity,price,customer.id,product.id
2011-01-07,1,1,1,6070,2,48
2011-01-07,1,2,1,5970,2,52
2011-01-10,2,1,1,2770,10,76
2011-01-10,2,2,1,5970,10,52
2011-01-10,3,1,1,10660,6,2
2011-01-10,3,2,1,3200,6,50
2011-01-10,3,3,1,12790,6,1
2011-01-10,3,4,1,5330,6,4
2011-01-10,3,5,1,1570,6,34
2011-01-11,4,1,1,4800,22,26
2011-01-11,5,1,1,480,8,96
2011-01-11,5,2,8,11190,8,66
2011-01-11,5,3,1,1250,8,35
2011-01-11,5,4,1,2060,8,72
2011-01-11,6,1,1,1960,16,45
2011-01-11,6,2,1,4500,16,39
2011-01-11,6,3,1,2340,16,87
2011-01-11,6,4,1,2240,16,31
2011-01-12,7,1,1,10660,9,2
2011-01-12,7,2,1,2240,9,15
2011-01-12,7,3,1,1840,9,10
2011-01-12,7,4,1,3200,9,65
2011-01-12,7,5,1,2340,9,87
2011-01-12,7,6,1,12790,9,55
2011-01-12,7,7,1,3200,9,7
2011-01-12,7,8,1,9060,9,67
2011-01-12,7,9,1,3200,9,61
2011-01-12,7,10,8,1410,9,18
2011-01-12,7,11,1,480,9,96
2011-01-12,7,12,1,1950,9,42
2011-01-12,7,13,1,9060,9,56
2011-01-12,7,14,8,815,9,93
2011-01-12,8,1,1,1250,16,35
2011-01-12,8,2,27,480,16,96
2011-01-17,9,1,1,2660,25,29
2011-01-17,9,2,8,3200,25,13
2011-01-17,9,3,1,1410,25,18
2011-01-17,9,4,1,1950,25,16
2011-01-17,9,5,125,1030,25,36
2011-01-17,10,1,1,1250,20,19
2011-01-18,11,1,1,5860,19,11
2011-01-18,11,2,8,3200,19,13
2011-01-18,11,3,1,1840,19,10
2011-01-18,11,4,1,4500,19,39
2011-01-18,11,5,1,7460,19,23
2011-01-18,11,6,1,3200,19,65
2011-01-18,11,7,1,3500,19,43
2011-01-20,12,1,8,3730,6,27
2011-01-20,12,2,1,3840,6,49
2011-01-20,12,3,1,9060,6,67
2011-01-20,12,4,1,5860,6,11
2011-01-20,12,5,1,4800,6,26
2011-01-20,12,6,1,4500,6,39
2011-01-20,12,7,1,3200,6,28
2011-01-20,12,8,1,1840,6,32
2011-01-20,12,9,1,9590,6,22
2011-01-20,12,10,1,3200,6,13
2011-01-20,12,11,1,2660,6,29
2011-01-20,12,12,1,5330,6,63
2011-01-20,12,13,1,2240,6,31
2011-01-20,12,14,1,2240,6,15
2011-01-20,12,15,1,3200,6,40
2011-01-20,12,16,27,1840,6,10
2011-01-20,12,17,1,870,6,37
2011-01-20,12,18,1,2660,6,8
2011-01-20,12,19,1,7460,6,57
2011-01-20,13,1,1,5330,7,4
2011-01-20,13,2,1,1410,7,18
